"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,265,537,120,290,544,104,234,245,215,225,352,474,231,231,296,596,265,685,361,352,227,309,232,298,274,317,576,287,435,225,236
"2",2,396,587,186,332,426.5,0,254.5,252,228,315.5,502,357.5,231,231,360,696,507.5,595,436.5,355,281,831,207.5,317,577.5,370,718,475.5,699,232,332.5
"3",3,298.5,545,105,307,360.5,493,189.5,344,240,320,281,311,230,231,350,682,468,268,415.5,335,251.5,794,232.5,339,438,588,776.5,396.5,740,229,342.5
"4",4,257.5,525.5,71,264.5,389.5,454.5,218,255,234,285.5,297.5,304.5,231,231.5,300,630.5,389,234,334.5,339.5,246.5,822,221,272.5,394.5,319,618.5,373.5,641,223,222.5
"5",5,263,532,61,251,368,541,220,257,253,292,277,305,231,232,265,652,364,216,322,340,261,830,215,254,413,310,267,426,639,222,205
"6",6,334,571,145,324,573,0,243,224,199,232,427,502,230,230,339,625,367,669,407,357,208,605,218,303,313,325,597,302,445,216,288
"7",7,301,554.5,110.5,314,493.5,0,219,418,193,257.5,299.5,307.5,231,232,372,640,425,274.5,398,355,218.5,743,219,327.5,313.5,403.5,717.5,304,670,223,358.5
"8",8,261,545,82,305,485,363,236,245,219,259,350,299,231,233,305,715,343,541,370,339,431,379,227,299,306,292,482,264,499,226,248
"9",9,308,550,106,312,464,165,227,276,213,310,291,306,230,232,304,750,417,308,386,342,531,710,225,309,297,337,299,299,495,223,259
"10",10,268,536.5,62,254,455,339.5,226,249.5,226,243,268.5,303,230,232,296.5,546,371.5,236,298.5,339,234,739,225.5,271,309,305,264,296,495,225,231
"11",11,283,543,94,293,497,240,225,257,219,270,253,292,232,231,310,738,366,471,354,342,437,556,228,299,286,313,290,281,442,223,261
"12",12,273,536,99,302,460,5,226,275,205,378,289,303,230,233,352,761,449,277,375,341,519,390,231,316,298,333,351,319,500,219,239
"13",13,226,484.5,70.5,661.5,404,216.5,221,251.5,243.5,280,312,339,234.5,230.5,297.5,593.5,350.5,206,347.5,340.5,252,828,157.5,279,373,319,272,296,649.5,222.5,158.5
"14",14,301,547,101,300,599,0,386,287,190,263,703,283,230,233,329,716,427,648,363,344,220,337,218,271,302,331,284,282,609,223,362
"15",15,224,493,199,382,685,0,228,348,207,243,375,276,231,232,381,463,284,230,350,365,184,439,241,292,375,496,447,481,280,248,382
"16",16,289.5,543.5,95,281.5,529,77,235,248.5,222,231,293,300,230,233,309,531.5,330,291,330,343.5,221.5,303.5,228,289,283.5,322,294.5,286.5,430,227,247.5
"17",17,282.5,549.5,139.5,321.5,506,47.5,242,579.5,207.5,229.5,253,311,232.5,230,351.5,569.5,380,303,391.5,344.5,218,480,224,337,309.5,340,318,288.5,533,226.5,268.5
"18",18,290,528,110,304,515,0,228,248,189,359,304,299,234,230,353,735,398,274,361,345,239,508,252,288,284,315,285,302,425,229,234
"19",19,342,567,212,550.5,586,0,240,234,200,214,417,313,231,231.5,554,557,338.5,692.5,446,389.5,212,338,228.5,360,331,373,673,317.5,411.5,225,264
"20",20,287,528.5,109.5,299.5,577.5,0,387.5,281.5,203.5,270.5,669.5,285.5,233,232,342,723.5,454,679,369.5,349,220.5,329.5,221,275,300,346,580,298.5,623,217.5,380.5
"21",21,265,514,109,289.5,506,0,250.5,351.5,189.5,250.5,537,335,231.5,232,407,707,521,702,370.5,347,233.5,373,195.5,291,565.5,404,575,295.5,690.5,224,512.5
"22",22,371,576,135,427,609,0,249,268,213,239,535,307,232,231,368,622,444,386,422,354,215,358,225,368,402,423,492,333,537,223,315
"23",23,320.5,565.5,184,728.5,523.5,0,259.5,555,196.5,227,343,310,231,233,360.5,586.5,418,370.5,433,350.5,214,338,219,410.5,341,374.5,355.5,309.5,628.5,228,222
"24",24,280,542,69,267,474,0,228,259,235,537,282,294,231,231,328,699,389,262,322,337,228,285,228,309,268,616,354,540,681,225,250
"25",25,349,561,284,727,584,0,239,187,194,206,314,298,231,232,480,518,364,501,494,445,197,322,225,425,384,387,705,327,363,226,275
"26",26,307,555,142,300,588,0,324,328,182,229,447,308,232,231,371,662,462,653,406,368,217,332,228,317,312,369,794,320,470,225,281
"27",27,321,558,163,663,536,0,246,567,201,240,443,337,231,230,436,656,544,442,438,356,218,403,223,374,448,362,568,315,630,226,388
"28",28,285,544,190,786,533,0,251,255,211,221,400,310,231,231,379,563,421,334,413,378,213,306,230,376,328,364,391,338,472,228,266
"29",29,276,545,91,293,417.5,162,227,269,230.5,459.5,279.5,300,230,229.5,358,762,439,281.5,353,341,249,277.5,295,313,298.5,325.5,356.5,373,559.5,221,232.5
"30",30,283,536,71,269,485,119,230,247,214,473,247,199,232,231,319,709,372,249,337,338,221,288,509,297,264,308,293,332,500,228,241
"31",31,681,649,431,487,685,0,260,357,182,218,380,297,231,231,542,541,333,589,471,558,185,386,225,422,473,534,714,421,298,232,334
"32",32,289,548,129,294,578,0,299,168,194,231,450,314,232,231,379,665,472,658,397,341,199,316,229,343,316,371,810,385,469,225,291
"33",33,309,559,156,306.5,618.5,0,380,115,170,227.5,470.5,305.5,231,231,394,672,467,699,421.5,427.5,207.5,348,232.5,326.5,312,348.5,822,216,482.5,224,294
"34",34,321,561,216,352,614,0,466.5,290.5,185,208.5,380,317.5,231,231,493.5,589,467,399,458,360.5,203.5,307,222.5,401.5,353,411,763,333.5,445,222,283
"35",35,365,576,296,643,614,0,514,315,200,207,297,314,230,231,465,525,452,373,488,374,209,309,228,441,360,432,709,333,414,223,279
"36",36,286.5,540,93,293.5,451.5,0,217.5,254,213,447,291,306.5,231,231,351.5,743.5,448,277,371.5,342,368,303.5,242,317,299,364.5,755,397.5,587,220,254
"37",37,310,554,100,292,532,0,225,258,194,472,284,243,231,231,365,738,404,267,377,358,208,322,465,308,287,330,733,371,546,224,266
"38",38,478,594,353,498,714,0,250,360,208,282,602,286,232,231,445,654,488,401,494,388,202,464,250,417,493,579,616,516,417,234,423
"39",39,301,563,150,346,642,0,383,291,160,332,608,320,231,232,418,766,562,763,459,380,222,400,234,308,561,423,858,403,731,219,432
"40",40,283,536,133,302,526,0,247,440,201,218,344,307,232,230,373,609,468,351,393,347,213,374,224,335,312,347,739,292,531,230,323
