"",eigenvalue,variance.percent,cumulative.variance.percent
Dim.1,2.36780072390328,26.3088969322586,26.3088969322586
Dim.2,1.77816259936306,19.7573622151451,46.0662591474037
Dim.3,1.47335370538289,16.3705967264765,62.4368558738803
Dim.4,0.992285260822595,11.0253917869177,73.462247660798
Dim.5,0.740193413659854,8.22437126288727,81.6866189236852
Dim.6,0.676649301336668,7.51832557040743,89.2049444940927
Dim.7,0.480749829415003,5.34166477127781,94.5466092653705
Dim.8,0.297120371643938,3.30133746271043,97.8479467280809
Dim.9,0.193684794472717,2.15205327191907,100
